text,label
"Срочно, пришлите обновлённый отчёт по продажам за неделю",useful
"Завтра созвон в 10:30 по проекту, не забудьте подключиться",useful
"Вот ссылка на документацию по API, может пригодиться",useful
"Напоминаю, дедлайн по задаче в пятницу вечером",useful
"Проверьте, пожалуйста, последние комментарии в задаче",useful
"Клиент подтвердил встречу на понедельник",useful
"Я добавил новые макеты в общий чат",useful
"Пожалуйста, отправьте реквизиты для договора",useful
"У нас упал сервис, нужна помощь с логами",useful
"Записал основные выводы после интервью в файл",useful
"Кто сможет подменить меня на дежурстве сегодня?",useful
"Не забудьте обновить пароль до конца дня",useful
"Собрал список вопросов к подрядчику",useful
"Есть новая версия презентации, посмотрите",useful
"Скиньте, пожалуйста, номер заказа для проверки",useful
"Сегодня в 18:00 закрываем регистрацию на вебинар",useful
"Дарю 5000 рублей каждому, кто перейдёт по ссылке!!!",trash
"Ты выиграл новый айфон, срочно забери приз",trash
"Подпишись на канал и получи секретный способ заработка",trash
"Смотри, кто заходил на твою страницу, жми сюда",trash
"Бесплатные прогнозы, ставки без риска, только сегодня",trash
"Невероятная акция, заработай миллион без вложений",trash
"Переходи в приватный чат для взрослых прямо сейчас",trash
"Крипта вырастет в 100 раз, покупай немедленно",trash
"Секретная схема дохода уже ждёт тебя по ссылке",trash
"Срочно голосуй за меня в конкурсе, иначе удалю из друзей",trash
"Только для избранных: волшебная таблетка для похудения",trash
"Нажми и узнай, кто тайно влюблён в тебя",trash
"Распродажа века, остатки со склада почти даром",trash
"Вложи 100 рублей и получи 100000 уже завтра",trash
